Latitude;Longitude;Elevation (metres);Distance (KMs);sin_A
-12.425395;130.887434;33.4;8.71;-0.0010638
-12.42546;130.888298;33.3;8.804;-0.012766
-12.425525;130.889161;32.1;8.898;0.0031915
-12.42559;130.890025;32.4;8.992;0.0042553
-12.425655;130.890889;32.8;9.086;-0.0074468
-12.42572;130.891752;32.1;9.18;0.014737
-12.425785;130.892616;33.5;9.275;0.0053191
-12.42585;130.89348;34;9.369;-0.0036364
-12.425885;130.893985;33.8;9.424;-0.012727
-12.42592;130.89449;33.1;9.479;-0.0031915
-12.425985;130.89535;32.8;9.573;0.0064516
-12.42605;130.89621;33.4;9.666;-0.0032258
-12.42609;130.89677;33.2;9.728;-0.0047619
-12.42615;130.897545;32.8;9.812;0.0023529
-12.42621;130.89832;33;9.897;0.0039216
-12.42625;130.89879;33.2;9.948;0.010959
-12.426295;130.89946;34;10.021;0.0013699
-12.42634;130.90013;34.1;10.094;-0.026667
-12.42635;130.90027;33.7;10.109;-0.010714
-12.42642;130.90104;32.8;10.193;0.002381
-12.42647;130.90181;33;10.277;0.0033333
-12.42652;130.90236;33.2;10.337;0.0083333
-12.42655;130.90269;33.5;10.373;0.02069
-12.42661;130.90322;34.7;10.431;0.026923
-12.42664;130.90346;35.4;10.457;0.0072464
-12.42673;130.90408;35.9;10.526;0.011494
-12.42686;130.90487;36.9;10.613;-0.016071
-12.42696;130.90538;36;10.669;-0.016667
-12.42704;130.9057;35.4;10.705;-0.0045455
-12.42708;130.9059;35.3;10.727;-0.0125
-12.42719;130.90625;34.8;10.767;0.0060606
-12.42735;130.90683;35.2;10.833;-0.0017857
-12.4275;130.90732;35.1;10.889;-0.0060606
-12.42758;130.90762;34.9;10.922;-0.026667
-12.42762;130.90775;34.5;10.937;-0.022581
-12.4277;130.90802;33.8;10.968;0.029688
-12.42789;130.90858;35.7;11.032;0.03875
-12.428137;130.90927;38.8;11.112;0.01125
-12.428383;130.90996;39.7;11.192;0.00125
-12.42863;130.91065;39.8;11.272;0.018182
-12.42896;130.9115;41.6;11.371;0.02
-12.42902;130.91167;42;11.391;-0.018391
-12.42929;130.91242;40.4;11.478;0.0076923
-12.42934;130.91253;40.5;11.491;0
-12.42941;130.91272;40.5;11.513;0.0015152
-12.429625;130.913285;40.6;11.579;0.0030303
-12.42984;130.91385;40.8;11.645;0.0086957
-12.42991;130.91405;41;11.668;0.0025
-12.430168;130.914733;41.2;11.748;-0.0063291
-12.430425;130.915415;40.7;11.827;-0.005
-12.430683;130.916097;40.3;11.907;0.010127
-12.43094;130.91678;41.1;11.986;0.010976
-12.4312;130.91748;42;12.068;0
-12.43129;130.91772;42;12.096;-0.0093023
-12.43156;130.91846;41.2;12.182;0.0037037
-12.43182;130.91916;41.5;12.263;-0.008642
-12.43208;130.91986;40.8;12.344;-0.028049
-12.43234;130.92056;38.5;12.426;0.012346
-12.4326;130.92126;39.5;12.507;0.0097561
-12.43274;130.92161;39.9;12.548;0.0056338
-12.43297;130.922215;40.3;12.619;-0.0070423
-12.4332;130.92282;39.8;12.69;0
-12.43325;130.92296;39.8;12.706;-0.0039216
-12.43341;130.9234;39.6;12.757;0.0125
-12.43345;130.92354;39.8;12.773;0.019048
-12.43351;130.92373;40.2;12.794;0.018421
-12.43363;130.92405;40.9;12.832;-0.01
-12.43376;130.9244;40.5;12.872;-0.011842
-12.434005;130.925045;39.6;12.948;-0.0066667
-12.43425;130.92569;39.1;13.023;0.002381
-12.434525;130.926415;39.3;13.107;-0.0070588
-12.4348;130.92714;38.7;13.192;0.0081081
-12.43505;130.92777;39.3;13.266;0.0092593
-12.43523;130.92823;39.8;13.32;-0.011111
-12.43541;130.92869;39.2;13.374;-0.0010526
-12.43572;130.92951;39.1;13.469;0.008046
-12.436;130.93026;39.8;13.556;0.014493
-12.43622;130.93085;40.8;13.625;-0.0048387
-12.43642;130.93138;40.5;13.687;-0.014516
-12.43662;130.93191;39.6;13.749;-0.0035088
-12.436805;130.932405;39.4;13.806;0.0051724
-12.43699;130.9329;39.7;13.864;0
-12.43699;130.93292;39.7;13.866;0.0020619
-12.4373;130.933755;39.9;13.963;-0.0061856
-12.43761;130.93459;39.3;14.06;-0.0034884
-12.437885;130.935328;39;14.146;0.005814
-12.43816;130.936067;39.5;14.232;0.005814
-12.438435;130.936805;40;14.318;-0.0093023
-12.43871;130.937543;39.2;14.404;-0.0023256
-12.438985;130.938282;39;14.49;0
-12.43926;130.93902;39;14.576;0.016667
-12.43949;130.939643;40.2;14.648;-0.0027397
-12.43972;130.940267;40;14.721;-0.013889
-12.43995;130.94089;39;14.793;0
-12.44021;130.94159;39;14.874;-0.0060976
-12.44047;130.94229;38.5;14.956;-0.012329
-12.4407;130.942925;37.6;15.029;-0.012162
-12.44093;130.94356;36.7;15.103;-0.05
-12.44094;130.94357;36.6;15.105;-0.019231
-12.44111;130.94402;35.6;15.157;-0.0086957
-12.44118;130.94422;35.4;15.18;-0.0076923
-12.441345;130.944665;35;15.232;0.0057692
-12.44151;130.94511;35.3;15.284;0.0058824
-12.4416;130.94541;35.5;15.318;0.023256
-12.44175;130.94578;36.5;15.361;0.022093
-12.44202;130.94652;38.4;15.447;0.0056818
-12.4423;130.947275;38.9;15.535;0.019318
-12.44258;130.94803;40.6;15.623;0.015385
-12.44262;130.94814;40.8;15.636;-0.029508
-12.44282;130.94867;39;15.697;-0.024194
-12.44302;130.9492;37.5;15.759;-0.033333
-12.44303;130.94923;37.4;15.762;-0.020833
-12.4431;130.94943;36.9;15.786;-0.011111
-12.44316;130.94959;36.7;15.804;0.0046875
-12.44337;130.95014;37;15.868;-0.0175
-12.44351;130.95047;36.3;15.908;-0.016667
-12.44364;130.95078;35.7;15.944;-0.014286
-12.44391;130.95136;34.7;16.014;-0.016667
-12.44395;130.95146;34.5;16.026;0
-12.44417;130.95186;34.5;16.076;0.011111
-12.44433;130.95215;34.9;16.112;0.019512
-12.4445;130.95249;35.7;16.153;0.01
-12.44454;130.95257;35.8;16.163;0.0036364
-12.44481;130.95299;36;16.218;0.004878
-12.44501;130.95331;36.2;16.259;0.0071429
-12.44508;130.95342;36.3;16.273;-0.002439
-12.44528;130.95373;36.2;16.314;-0.00125
-12.44571;130.95432;36.1;16.394;0.03
-12.44604;130.95476;37.9;16.454;0.014035
-12.44637;130.95516;38.7;16.511;0
-12.44645;130.95525;38.7;16.524;0.0074074
-12.44674;130.95564;39.1;16.578;-0.023404
-12.44702;130.95597;38;16.625;-0.021429
-12.44733;130.95637;36.8;16.681;0.0074074
-12.44765;130.95675;37.2;16.735;0.018182
-12.44771;130.95683;37.4;16.746;0.017949
-12.44793;130.95711;38.1;16.785;0.014286
-12.44796;130.95716;38.2;16.792;0.011765
-12.44815;130.95741;38.6;16.826;0.0098039
-12.44844;130.95777;39.1;16.877;-0.011594
-12.44885;130.95825;38.3;16.946;0.0011905
-12.449317;130.958857;38.4;17.03;-0.002381
-12.449783;130.959463;38.2;17.114;-0.019048
-12.45025;130.96007;36.6;17.198;-0.035849
-12.450555;130.96045;34.7;17.251;-0.027778
-12.45086;130.96083;33.2;17.305;-0.0039216
-12.451145;130.961195;33;17.356;0.008
-12.45143;130.96156;33.4;17.406;0.012121
-12.4518;130.96203;34.2;17.472;-0.0030303
-12.45217;130.9625;34;17.538;0.012727
-12.452485;130.962895;34.7;17.593;0.0071429
